name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Sibylle Schneider-Schaulies,6,58,29,10211949,1999,1999,2014
Michael R Shurin,6,114,38,17029028,2006,1996,2016
Artur Summerfield,6,62,28,18582937,2008,2005,2014
Kunihiko Tamaki,6,9,5,16949255,2006,1999,2007
Cees van Kooten,6,128,71,9203418,1997,1997,2011
Anshu Agrawal,5,65,29,20619360,2010,2007,2014
Setsuya Aiba,5,44,36,17624739,2007,1998,2007
Sandra M Blois,5,92,32,17596562,2007,2007,2011
Vincenzo Cerundolo,5,166,108,19079136,2008,2003,2015
Marie Cumberbatch,5,42,15,11012599,2000,1992,2003
I Jolanda M de Vries,5,108,62,20204387,2010,2008,2013
Richard A Flavell,5,318,177,20616810,2010,1999,2014
Reinhold Forster,5,190,93,23018291,2012,2007,2016
Yang-Xin Fu,5,308,274,24048123,2013,2009,2015
Frederic Geissmann,5,1319,652,20133564,2010,1999,2010
Steve N Georas,5,58,23,24443508,2014,2005,2014
M Eric Gershwin,5,128,62,19159071,2009,2005,2012
Sandra Gessani,5,65,20,18926300,2008,2006,2014
Michael Girardi,5,74,62,16417214,2006,2001,2010
A J Hance,5,9,4,8224138,1993,1986,1993
William R Heath,5,578,172,11244030,2001,2001,2009
Martin Hewison,5,232,73,20511058,2010,2007,2011
Helmut Jonuleit,5,103,69,12225384,2002,2002,2011
Norimitsu Kadowaki,5,45,16,17646736,2007,2003,2009
Martien L Kapsenberg,5,516,280,14647480,2003,1989,2005
Srini V Kaveri,5,25,9,18558359,2008,2004,2008
M L Kripke,5,29,11,1761789,1991,1986,1992
Guido Kroemer,5,220,84,18573340,2008,2007,2009
James G Krueger,5,80,48,15145319,2004,2004,2014
Walter Gottlieb Land,5,25,8,22074784,2011,2006,2011
Robert I Lechler,5,120,38,12216939,2002,2001,2007
Alberto Mantovani,5,118,70,20004131,2009,1998,2009
Ira Mellman,5,786,446,11509172,2001,1998,2014
Kingston H G Mills,5,280,146,15516964,2004,2004,2014
Christian Munz,5,125,78,16027234,2005,2003,2011
Kenneth M Murphy,5,354,199,10973276,2001,1995,2014
Michael B A Oldstone,5,69,30,12797446,2003,1999,2011
Joost J Oppenheim,5,109,54,19699678,2009,2002,2015
Steven Patterson,5,64,23,9143701,1997,1990,2011
Boris Reizis,5,194,77,23827956,2013,2010,2013
Federica Sallusto,5,261,105,11138771,2001,1999,2008
Hansjorg Schild,5,33,10,11189453,2001,2001,2014
Ingo G H Schmidt-Wolf,5,22,13,24673175,2014,2002,2014
Tsukasa Seya,5,33,27,21312311,2011,2001,2011
Warren Strober,5,117,57,17906447,2007,1997,2009
Nicole Suciu-Foca,5,74,21,15589454,2004,2003,2010
A K Szakal,5,123,48,2258191,1990,1990,1997
J G Tew,5,19,7,1382662,1992,1991,1995
Shannon J Turley,5,71,34,21147035,2010,2002,2014
Arjan A van de Loosdrecht,5,11,3,16531258,2006,2005,2013
Johannes Vieweg,5,14,6,16474576,2006,2000,2006
Jim Xiang,5,56,29,18761813,2008,2003,2008
Alma Zernecke,5,57,18,21901235,2011,2011,2015
Maria T Abreu,4,14,9,17105686,2006,2004,2014
Cezmi A Akdis,4,139,67,20148422,2010,2006,2012
Mubeccel Akdis,4,46,22,17023149,2006,2004,2006
Matthew L Albert,4,21,7,18929418,2008,2008,2010
Carl E Allen,4,9,4,25430560,2014,1986,2016
Hans-Joachim Anders,4,41,19,20620675,2010,2010,2015
David Avigan,4,24,11,22595051,2012,2003,2012
Yasmine Belkaid,4,52,27,12943446,2003,2002,2010
Zwi N Berneman,4,27,10,23778748,2013,2001,2013
Karine Breckpot,4,31,13,19075627,2008,2008,2015
Malcolm K Brenner,4,9,6,16197723,2005,1998,2005
Gordon D Brown,4,74,46,20193029,2010,2009,2014
P L Bruijnzeel,4,6,3,2083402,1990,1989,1990
Wei Cao,4,73,37,17113765,2006,2006,2013
David P Carbone,4,98,49,11444391,2001,1999,2004
Francis R Carbone,4,119,50,24048119,2013,2002,2013
Michael C Carroll,4,54,28,21219172,2011,1997,2011
Yongwon Choi,4,91,30,12787563,2003,1999,2005
Stephen P Cobbold,4,66,32,20636819,2010,2002,2010
George Coukos,4,86,34,15785750,2005,2003,2010
Ponciano D Jr Cruz,4,18,9,19287024,2009,1992,2009
Jason G Cyster,4,221,181,10617422,2000,1997,2016
Angus Dalgleish,4,19,9,20188145,2010,2004,2011
Alexander H Dalpke,4,19,9,22201825,2011,2011,2015
Mariapia A Degli-Esposti,4,188,119,15688039,2005,2004,2008
C Dezutter-Dambuyant,4,6,4,7899146,1994,1994,1995
James S Economou,4,37,27,12547500,2003,2000,2003
Paul J Fairchild,4,10,4,11007355,2000,2000,2011
Patricia Fitzgerald-Bocarsly,4,185,72,18248767,2008,2002,2010
Shin-ichiro Fujii,4,15,11,18372215,2008,2008,2012
Masutaka Furue,4,65,59,16352421,2005,1994,2007
Dmitry I Gabrilovich,4,76,32,16916762,2006,2002,2014
Anthony A Gaspari,4,54,41,22240625,2012,1996,2012
Michel Gilliet,4,94,40,20146710,2010,2002,2010
Florent Ginhoux,4,55,24,24556405,2014,2014,2015
Siamon Gordon,4,1489,1171,16322748,2005,2002,2011
Mitchell H Grayson,4,42,22,17891367,2007,2006,2009
Matthias Gunzer,4,29,14,16630072,2006,2006,2009
Anne Hosmalin,4,63,32,16916960,2006,1995,2006
David A Hume,4,291,130,18941170,2008,2002,2014
Michio Imawari,4,8,7,18761560,2008,2002,2008
Cristoforo Incorvaia,4,23,13,18721326,2008,2007,2010
Marc K Jenkins,4,304,117,11244029,2001,1996,2011
Dominique Kaiserlian,4,20,15,15971107,2005,1999,2007
Lothar Kanz,4,13,7,15501552,2004,1997,2004
W Martin Kast,4,16,7,17627067,2007,1988,2007
David R Katz,4,57,20,2191684,1990,1988,2007
Howard L Kaufman,4,34,19,15102606,2004,2002,2004
Yutaka Kawakami,4,6,5,17981682,2007,2003,2010
Hitoshi Kikutani,4,114,72,18087252,2007,2003,2008
Jorg Kohl,4,82,36,16760575,2006,2006,2013
Claude Leclerc,4,20,10,15102368,2004,2002,2007
Donald Y M Leung,4,107,66,16815153,2006,2002,2011
Frances E Lund,4,66,41,15564716,2004,2004,2014
H Kim Lyerly,4,39,28,17169781,2006,2000,2007
G Gordon MacPherson,4,30,18,10631957,2000,1989,2004
Nicolas Manel,4,40,26,22000008,2011,2011,2015
Stefan F Martin,4,22,14,15275640,2004,2002,2014
A S McWilliam,4,14,5,10449166,1999,1995,1999
Luis J Montaner,4,125,51,16940334,2006,2003,2011
James J Mule,4,20,15,10779157,2000,2000,2015
George F Murphy,4,4,2,3882547,1985,1982,2007
Brian J Nickoloff,4,38,33,18094946,2007,1994,2007
Yasuharu Nishimura,4,14,11,20155337,2010,2005,2011
Randolph J Noelle,4,228,150,15032580,2004,1998,2010
Luke A J O'Neill,4,340,202,23325217,2013,2002,2015
Mark D Okusa,4,167,86,18802372,2008,2006,2015
Josef M Penninger,4,219,124,11861618,2002,2000,2008
Philippe Pierre,4,34,17,16181336,2005,2001,2009
Magdalena Plebanski,4,86,57,16997708,2006,2004,2015
Stefan Pohlmann,4,60,24,15381196,2004,2002,2013
Paolo Puccetti,4,210,102,12738417,2003,1998,2007
Jose Luis Rodriguez-Fernandez,4,79,66,16621978,2006,2006,2013
Nikolaus Romani,4,72,36,12974775,2003,1993,2006
Mohamed Labib Salem,4,17,8,19921513,2009,2009,2014
Michael L Salgaller,4,10,6,12142552,2002,1998,2003
Dolores J Schendel,4,75,57,12958064,2003,2003,2011
C L Schlichting,4,11,7,16647440,2006,2004,2007
Elodie Segura,4,104,41,19342210,2009,2009,2015
Albert C Shaw,4,216,91,19541535,2009,2005,2014
Suyu Shu,4,33,19,16770535,2006,2006,2011
Franco Silvestris,4,17,7,16126984,2005,2005,2014
Craig L Jr Slingluff,4,19,9,10750729,2000,2000,2015
Mark J Smyth,4,113,53,11869887,2002,2002,2008
Philip A Stumbles,4,38,16,12974776,2003,1999,2009
Melody A Swartz,4,140,78,19940915,2009,2008,2015
Yoshiya Tanaka,4,2,1,19252371,2009,2000,2013
Volker ter Meulen,4,27,18,12797444,2003,2002,2003
Kris Thielemans,4,48,18,15468193,2004,2004,2014
G J Thorbecke,4,51,30,7009405,1980,1978,1992
Marco Tucci,4,30,15,20671931,2010,2007,2011
John W Upham,4,21,7,12753527,2003,2003,2016
Viggo F I Van Tendeloo,4,42,19,19656053,2009,2003,2012
Alain P Vicari,4,163,65,11900990,2002,2001,2004
Hermann Wagner,4,125,65,15207506,2004,2002,2009
Edmund K Waller,4,26,14,20191089,2010,2003,2015
Colin Watts,4,76,40,20083398,2010,2001,2010
Heinz Wiendl,4,47,27,20217033,2010,2007,2013
Ryuya Yamanaka,4,38,21,18403264,2008,2006,2012
Masaki Yasukawa,4,1,1,19860194,2009,2006,2009
Yasunobu Yoshikai,4,10,8,17341192,2007,2005,2009
James W Young,4,63,50,16034072,2005,1999,2007
John S Yu,4,9,4,16608423,2006,2005,2012
Rafi Ahmed,3,145,67,9638360,1998,1998,2011
Paola Allavena,3,30,26,15482253,2004,1999,2004
Anthony C Allison,3,52,41,16251851,2005,1979,2005
Sebastien Anguille,3,74,62,24872109,2014,2012,2015
Vasso Apostolopoulos,3,51,33,11899091,2002,2001,2005
Julia E Babensee,3,63,33,21105173,2010,2007,2015
Martin F Bachmann,3,76,34,12778463,2003,2003,2013
R L Baer,3,1,1,6241603,1984,1978,1993
J N Barker,3,3,2,7587640,1995,1992,1995
Samuel M Behar,3,37,16,24581688,2014,2013,2014
D V Belsito,3,2,2,8379412,1993,1989,1998
Michael J Bevan,3,95,56,16448550,2006,2000,2006
J Magarian Blander,3,127,93,16985500,2006,2006,2010
Andrew Blauvelt,3,62,47,18177599,2008,1997,2008
Bianca Blom,3,74,62,16551251,2006,2002,2014
Marianne Boes,3,16,10,21561444,2011,2005,2011
Andre Boonstra,3,43,24,18818373,2008,2008,2012
Philippe Bousso,3,93,63,19172690,2009,2006,2009
L R Braathen,3,1,1,8526133,1995,1989,1995
Susan M Bueno,3,18,15,22703384,2012,2011,2012
V L Bykov,3,0,0,9244554,1997,1997,1998
Michael A Caligiuri,3,110,95,14698284,2003,2003,2008
Xuetao Cao,3,34,22,20468008,2010,2010,2015
Andrea Cavani,3,9,6,17873579,2007,2007,2008
Benjamin M Chain,3,20,13,15166821,2004,2003,2007
Nathalie Chaput,3,70,59,20145139,2010,2008,2010
Wanjun Chen,3,23,12,16368522,2005,2000,2014
Maurizio Chiriva-Internati,3,14,9,21271951,2011,2007,2011
Georgina J Clark,3,15,11,19592130,2009,2000,2012
P Toby H Coates,3,16,8,19796021,2009,2004,2011
Eliana Marina Coccia,3,29,15,25453229,2014,2007,2014
Matthew Collin,3,103,53,23621371,2013,2011,2015
Nathalie Cools,3,67,49,17711977,2007,2007,2013
