name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Stephen M Anderton,1,9,9,17022733,2006,2006,2006
F Andrade,1,13,13,18331532,2008,2008,2008
Luis Eduardo Coelho Andrade,1,3,3,21125178,2010,2010,2010
J A Andriko,1,21,21,11293908,2001,2001,2001
June Ann D'Angelo,1,7,7,25363524,2014,2014,2014
Aftab A Ansari,1,28,28,25260583,2014,2014,2014
J C Ansel,1,6,6,8160465,1994,1994,1994
A S Antal,1,1,1,24720588,2014,2014,2014
Jean-Claude Antoine,1,16,16,15603761,2004,2004,2004
Antony N Antoniou,1,3,3,19731631,2009,2009,2009
Paul Andrew Antony,1,43,43,15725955,2005,2005,2005
S Appel,1,15,15,23672402,2013,2013,2013
N S Araujo,1,9,9,10052377,1999,1999,1999
P Arenberger,1,0,0,8681359,1996,1996,1996
Ramon Arens,1,0,0,27861287,2016,2016,2016
F Arenzana-Seisdedos,1,3,3,2419711,1985,1985,1985
P Arese,1,20,20,18693582,2008,2008,2008
Maurizio Arico,1,8,8,24894775,2014,2014,2014
Koji Arihiro,1,6,6,17371541,2007,2007,2007
K Ariizumi,1,1,1,7615997,1995,1995,1995
Bernd Arnold,1,4,4,12216940,2002,2002,2002
Sunil K Arora,1,2,2,24434330,2014,2014,2014
C Arpin,1,68,68,9280752,1997,1997,1997
Mario Arpinati,1,16,16,12967787,2003,2003,2003
Claudio Arra,1,4,4,22579960,2012,2012,2012
Violeta Arsenescu,1,17,17,24823865,2014,2014,2014
Katerina Artavanis-Tsakonas,1,11,11,23221477,2012,2012,2012
J Simon C Arthur,1,5,5,24941159,2014,2014,2014
Atsushi Aruga,1,0,0,20535963,2010,2010,2010
Hitoshi Asakura,1,3,3,17465491,2007,2007,2007
Alexzander Asea,1,6,6,17920515,2007,2007,2007
Ali A Ashkar,1,8,8,22143115,2011,2011,2011
Dalia S Ashour,1,5,5,23899237,2013,2013,2013
Hossam M Ashour,1,18,18,17656652,2007,2007,2007
Carine Asselin-Paturel,1,66,66,16103406,2005,2005,2005
Jan Astermark,1,0,0,25560794,2015,2015,2015
Maria Atta,1,2,2,22067605,2011,2011,2011
M Aubier,1,1,1,9551439,1998,1998,1998
Pierre Aucouturier,1,0,0,20619164,2010,2010,2010
Francoise Audibert,1,11,11,12860174,2003,2003,2003
S J Aujla,1,60,60,19219418,2009,2009,2009
L Aurelian,1,0,0,8395236,1993,1993,1993
Michel Aurrand-Lions,1,103,103,15173832,2004,2004,2004
Ingo B Autenrieth,1,19,19,19781988,2009,2009,2009
Stella E Autenrieth,1,5,5,25468558,2014,2014,2014
Tony Avril,1,9,9,21524170,2011,2011,2011
Atif B Awad,1,3,3,22823346,2012,2012,2012
Amit Awasthi,1,34,34,15243162,2004,2004,2004
Shanjana Awasthi,1,3,3,17363430,2007,2007,2007
Jose M Azevedo-Pereira,1,2,2,25350531,2014,2014,2014
E Azizi,1,0,0,2680822,1989,1989,1989
E Azoulay,1,15,15,12945995,2003,2003,2003
Hiroaki Azukizawa,1,13,13,20212507,2010,2010,2010
M Azuma,1,5,5,16953812,2006,2006,2006
A Azzi,1,6,6,10902571,2000,2000,2000
J Baar,1,3,3,10337385,1999,1999,1999
Tomohisa Baba,1,13,13,24966464,2014,2014,2014
Zohreh Babaloo,1,9,9,26466984,2015,2015,2015
Gayane Badalian-Very,1,13,13,22906202,2012,2012,2012
Andrea Baetz,1,39,39,18406369,2008,2008,2008
Sami L Bahna,1,2,2,20431370,2010,2010,2010
Xue-Fan Bai,1,0,0,16222969,2005,2005,2005
M Bailey,1,4,4,16102842,2005,2005,2005
Ashwin Balagopal,1,2,2,27998285,2016,2016,2016
Konstantin E Balashov,1,6,6,23148757,2012,2012,2012
Cosima T Baldari,1,55,55,19560486,2009,2009,2009
Irina Baldueva,1,2,2,17713028,2007,2007,2007
W M 3rd Baldwin,1,22,22,17927608,2007,2007,2007
Carmela Rita Balistreri,1,13,13,17460174,2007,2007,2007
Zuhair K Ballas,1,10,10,17917052,2007,2007,2007
Nicholas Bandarenko,1,0,0,17276142,2007,2007,2007
Ruma Banerjee,1,25,25,20070126,2010,2010,2010
Musheng Bao,1,23,23,23132256,2012,2012,2012
Daniel L Barber,1,1,1,26187873,2015,2015,2015
Jose Alexandre M Barbuto,1,6,6,23762097,2013,2013,2013
Winfried Barchet,1,50,50,15990333,2005,2005,2005
Carlos Barcia,1,0,0,25267483,2014,2014,2014
A Neil Barclay,1,57,57,24215318,2013,2013,2013
Lucia P Barker,1,2,2,16885596,2006,2006,2006
Edward M Jr Barksdale,1,3,3,14765372,2004,2004,2004
Peter J Barnes,1,45,45,21682737,2011,2011,2011
C D Baroni,1,0,0,2683841,1989,1989,1989
Gianfranco Baronzio,1,11,11,17203747,2007,2007,2007
Franck J Barrat,1,59,59,18613842,2008,2008,2008
W Barrett,1,10,10,9084200,1997,1997,1997
P Bartak,1,0,0,7758079,1995,1995,1995
Heidi Barth,1,19,19,20372157,2010,2010,2010
Amelia Bartholomew,1,9,9,19424008,2009,2009,2009
Beverly E Barton,1,8,8,16706685,2006,2006,2006
Claire R Barton,1,0,0,26337514,2015,2015,2015
Gregory M Barton,1,14,14,21146971,2010,2010,2010
J Bartunkova,1,0,0,11109283,2000,2000,2000
Christelle Basset,1,13,13,12763678,2003,2003,2003
C W Bassim,1,9,9,23107104,2012,2012,2012
Karina R B Bastos,1,18,18,15158199,2004,2004,2004
Joyoti Basu,1,9,9,21550855,2011,2011,2011
Manuela Battaglia,1,21,21,15681753,2005,2005,2005
Angela Battistini,1,22,22,19929577,2009,2009,2009
R Bauer,1,3,3,9206708,1997,1997,1997
Stefan Bauer,1,8,8,18060756,2007,2007,2007
B Baumann,1,14,14,10959078,2000,2000,2000
Martin Baumgartner,1,4,4,21795099,2011,2011,2011
Andreas J Baumler,1,13,13,15532980,2004,2004,2004
Thomas Baumruker,1,13,13,18751924,2008,2008,2008
Alan G Baxter,1,5,5,19223852,2009,2009,2009
Lisa Beck,1,4,4,20425500,2010,2010,2010
Lisa A Beck,1,42,42,19078985,2008,2008,2008
Philipp Beckhove,1,16,16,14659467,2003,2003,2003
Sammy Bedoui,1,12,12,21112755,2010,2010,2010
Judith Behnsen,1,28,28,20627805,2010,2010,2010
A Beineke,1,1,1,23280245,2013,2013,2013
A S Belldegrun,1,1,1,12084295,2002,2002,2002
M Bellocci,1,0,0,8739997,1996,1996,1996
Teresa Bellon,1,1,1,21659858,2011,2011,2011
Stefania Bellone,1,6,6,17944571,2007,2007,2007
Gabrielle Belz,1,7,7,19031021,2008,2008,2008
G P Bembridge,1,0,0,9890022,1999,1999,1999
Philippe Benaroch,1,38,38,11853874,2002,2002,2002
Albert Bendelac,1,663,663,17150027,2006,2006,2006
Niels Bendsoe,1,0,0,15000456,2004,2004,2004
Fabian Benencia,1,10,10,17191386,2006,2006,2006
Gilles Benichou,1,14,14,21668313,2011,2011,2011
Daniel Benitez-Ribas,1,3,3,24319468,2013,2013,2013
Karim Bennaceur,1,7,7,18675885,2008,2008,2008
Clare L Bennett,1,55,55,17964853,2007,2007,2007
John M Bennett,1,8,8,21890199,2011,2011,2011
Jack R Bennink,1,25,25,14583141,2003,2003,2003
Soumaya Bennouna,1,25,25,15003500,2004,2004,2004
Armand Bensussan,1,0,0,27011243,2016,2016,2016
Gail Bentley,1,0,0,25075501,2014,2014,2014
Jo H M Berden,1,17,17,21839371,2011,2011,2011
J R Berenson,1,0,0,10528889,1999,1999,1999
Laura Beretta,1,9,9,12538157,2003,2003,2003
N M Bereznaya,1,4,4,17431381,2007,2007,2007
C Berkowitz,1,0,0,8357971,1993,1993,1993
J Bernard,1,0,0,14609763,2003,2003,2003
David Bernardo,1,3,3,23971659,2013,2013,2013
R Berthier,1,0,0,11022098,2000,2000,2000
Patrick Bertolino,1,33,33,17520518,2007,2007,2007
Jay A Berzofsky,1,85,85,19055947,2008,2008,2008
Bruce Beutler,1,6,6,22440911,2012,2012,2012
Peter C L Beverley,1,7,7,15928676,2005,2005,2005
Atul K Bhan,1,21,21,12902848,2003,2003,2003
Mickie Bhatia,1,14,14,17142850,2006,2006,2006
Marco E Bianchi,1,151,151,17979838,2007,2007,2007
Marta Biedzka-Sarek,1,1,1,16948811,2006,2006,2006
Erik A L Biessen,1,2,2,24344059,2013,2013,2013
Iris Bigalke,1,3,3,25186611,2014,2014,2014
Darell D Bigner,1,6,6,23837761,2013,2013,2013
Arya Biragyn,1,7,7,15638768,2005,2005,2005
C A Biron,1,160,160,11420036,2001,2001,2001
Felix Bischof,1,8,8,17592494,2007,2007,2007
Gail A Bishop,1,6,6,24847763,2014,2014,2014
Roberto J Bitton,1,2,2,15011777,2004,2004,2004
Jens Roar Bjerke,1,0,0,12092071,2002,2002,2002
Zofia Blach-Olszewska,1,6,6,15995585,2005,2005,2005
Keith L Black,1,18,18,19335279,2009,2009,2009
Michael R Blackburn,1,43,43,19639284,2009,2009,2009
Barbara A Blacklaws,1,18,18,22237012,2012,2012,2012
G E Blair,1,15,15,10762408,2000,2000,2000
M A Blajchman,1,11,11,9704462,1998,1998,1998
M Blanca,1,0,0,16156398,2005,2005,2005
Thomas G Blanchard,1,7,7,23620119,2013,2013,2013
Francisco Blanco-Favela,1,13,13,24326322,2013,2013,2013
Patrick Blanco,1,80,80,18258476,2008,2008,2008
C Blank,1,3,3,8526129,1995,1995,1995
Fabian Blank,1,1,1,28069025,2017,2017,2017
Orin Bloch,1,3,3,25468230,2014,2014,2014
Jeffrey A Bluestone,1,117,117,18613848,2008,2008,2008
Adriano Boasso,1,76,76,17916442,2007,2007,2007
V Boccaletti,1,0,0,25034096,2014,2014,2014
Bruce S Bochner,1,1,1,23352632,2013,2013,2013
Lakshmi Narendra Bodduluru,1,3,3,25511743,2014,2014,2014
Ulrike Bode,1,12,12,19969504,2009,2009,2009
B Bodey,1,15,15,10953341,2000,2000,2000
Bernhard O Boehm,1,2,2,20503254,2010,2010,2010
Anita Boelen,1,0,0,27852725,2016,2016,2016
Bjarne Bogen,1,2,2,15088126,2004,2004,2004
Shahe Boghossian,1,3,3,21292476,2011,2011,2011
Barna Bogner,1,0,0,16261870,2005,2005,2005
Armelle Bohineust,1,18,18,23216612,2012,2012,2012
Marie-Christophe Boissier,1,11,11,15681243,2005,2005,2005
Azam Bolhassani,1,30,30,21211062,2011,2011,2011
Warren K Bolton,1,1,1,20032960,2009,2009,2009
Morgane Bomsel,1,21,21,21114566,2010,2010,2010
Aude Bonehill,1,39,39,17503040,2007,2007,2007
Jean-Yves Bonnefoy,1,0,0,15584859,2004,2004,2004
Marc Bonneville,1,1,1,15569601,2004,2004,2004
Maria Rosa Bono,1,6,6,23762087,2013,2013,2013
Joseph V Bonventre,1,37,37,21921619,2011,2011,2011
Thierry Boon,1,74,74,12445281,2002,2002,2002
Juliano Bordignon,1,5,5,23202502,2012,2012,2012
Hossein Borghaei,1,12,12,19837059,2009,2009,2009
Larry Borish,1,18,18,21439160,2011,2011,2011
J C Borleffs,1,0,0,10800546,2000,2000,2000
Willi K Born,1,41,41,16337364,2005,2005,2005
Clemens Bos,1,0,0,26486342,2015,2015,2015
Silvia B Boscardin,1,1,1,27110574,2016,2016,2016
Maria Carla Bosco,1,34,34,18926289,2008,2008,2008
S K Bose,1,9,9,8321867,1993,1993,1993
Gerry R Boss,1,13,13,17624946,2007,2007,2007
Kim Bottomly,1,20,20,14630194,2003,2003,2003
P Bouchard,1,0,0,3330563,1987,1987,1987
Sarah Boudaly,1,5,5,19273148,2009,2009,2009
A Bouloumie,1,19,19,21507694,2011,2011,2011
Gerben Bouma,1,18,18,19628299,2009,2009,2009
P Boura,1,0,0,11490795,2001,2001,2001
Vassiliki A Boussiotis,1,6,6,16972086,2006,2006,2006
F Bouzahzah,1,7,7,7587349,1995,1995,1995
David G Bowen,1,4,4,18473895,2008,2008,2008
Ashleigh S Boyd,1,8,8,20441429,2010,2010,2010
Barry Matthew Bradford,1,2,2,26697507,2015,2015,2015
J A Bradley,1,5,5,8782745,1996,1996,1996
Hugh J M Brady,1,27,27,22075207,2011,2011,2011
Olga Brandonisio,1,18,18,15596127,2004,2004,2004
Petter Brandtzaeg,1,2,2,15482156,2004,2004,2004
Marlene Bras,1,6,6,21825870,2011,2011,2011
Lawrence F Brass,1,4,4,21668292,2011,2011,2011
Armin Braun,1,8,8,19292991,2009,2009,2009
R Bravo,1,3,3,9070378,1996,1996,1996
Jay H Bream,1,34,34,20087682,2010,2010,2010
A S Breathnach,1,4,4,6104682,1980,1980,1980
Frank R Brennan,1,19,19,20421713,2010,2010,2010
Erwin Daniel Brenndorfer,1,5,5,22911132,2012,2012,2012
Tom J Brett,1,14,14,23274150,2013,2013,2013
J Breve,1,4,4,7689348,1993,1993,1993
Robert N Brey,1,33,33,15935874,2005,2005,2005
Susanna Brighenti,1,3,3,20494110,2010,2010,2010
Elizabeth Brint,1,1,1,24732075,2014,2014,2014
Margo A Brinton,1,1,1,25455336,2014,2014,2014
G Brittinger,1,2,2,1832893,1991,1991,1991
W J Britton,1,16,16,10947855,2000,2000,2000
E B Brocker,1,0,0,11688150,2001,2001,2001
Dirk G Brockstedt,1,16,16,22595054,2012,2012,2012
Anna Broder,1,5,5,23376063,2013,2013,2013
Marike L D Broekman,1,0,0,22200143,2011,2011,2011
Kim A Brogden,1,3,3,17081199,2006,2006,2006
Achille Broggi,1,4,4,23898045,2013,2013,2013
Carl-Henrik Brogren,1,1,1,23992281,2013,2013,2013
David H Broide,1,6,6,16476191,2006,2006,2006
Vincenzo Bronte,1,16,16,19307988,2009,2009,2009
David G Brooks,1,6,6,25771184,2015,2015,2015
Laurent Brossay,1,0,0,12776911,2003,2003,2003
N Brousse,1,0,0,8519392,1995,1995,1995
Noah Brown,1,4,4,26414464,2015,2015,2015
Tim H Brummendorf,1,0,0,15958710,2005,2005,2005
A Brun,1,0,0,14582023,2003,2003,2003
Ludovica Bruno,1,1,1,17876086,2007,2007,2007
Oystein Bruserud,1,7,7,19075589,2008,2008,2008
P L Bruynzeel,1,0,0,2966822,1987,1987,1987
Hong Bu,1,0,0,15646360,2005,2005,2005
Milan Buc,1,10,10,19688187,2009,2009,2009
P Bucci,1,0,0,3050433,1988,1988,1988
Matthew Buckland,1,8,8,19031027,2008,2008,2008
Christopher D Buckley,1,55,55,15745857,2005,2005,2005
Jane H Buckner,1,7,7,26683155,2015,2015,2015
P Bucsky,1,2,2,3315047,1987,1987,1987
E Budtz-Jorgensen,1,18,18,8315598,1993,1993,1993
Jan Buer,1,13,13,19781991,2009,2009,2009
D Buffa,1,1,1,1491896,1992,1992,1992
A V Buianova,1,0,0,9035871,1996,1996,1996
Silvia Bulfone-Paus,1,12,12,17544835,2007,2007,2007
Dominique M A Bullens,1,3,3,19075786,2008,2008,2008
Karen Bulloch,1,21,21,22825593,2012,2012,2012
G R Bullock,1,0,0,8935155,1996,1996,1996
Hannes E Bulow,1,14,14,25386991,2014,2014,2014
Hidde Bult,1,13,13,21976788,2011,2011,2011
Jeff W M Bulte,1,111,111,19620426,2009,2009,2009
Steven Burakoff,1,2,2,22477524,2012,2012,2012
Joy M Burchell,1,37,37,20635898,2010,2010,2010
Andre G Buret,1,12,12,24744587,2014,2014,2014
G Burg,1,4,4,7655103,1995,1995,1995
Linda C Burkly,1,59,59,22017434,2011,2011,2011
A W Burks,1,1,1,7621061,1995,1995,1995
P Burney,1,4,4,19663867,2009,2009,2009
G F Burton,1,18,18,9176708,1997,1997,1997
Dirk H Busch,1,16,16,17964665,2007,2007,2007
Rita Businaro,1,1,1,23150034,2012,2012,2012
William W Busse,1,91,91,20816549,2010,2010,2010
Nathalie Busso,1,1,1,24703401,2014,2014,2014
Brigitta Buttari,1,5,5,23834168,2013,2013,2013
Dominique Buzoni-Gatel,1,15,15,16548880,2006,2006,2006
N A Cacalano,1,19,19,17122156,2006,2006,2006
J F Cailhier,1,1,1,22222207,2012,2012,2012
M Cakala,1,0,0,15170999,2004,2004,2004
Stuart K Calderwood,1,4,4,25767073,2015,2015,2015
D Callanan,1,2,2,2701814,1989,1989,1989
J G Camarasa,1,0,0,9479433,1998,1998,1998
Shannon M Campbell,1,0,0,22838092,2012,2012,2012
Gabriele Campi,1,32,32,16777399,2006,2006,2006
Elias Campo,1,0,0,20425464,2008,2008,2008
Michael Campoli,1,1,1,15056043,2004,2004,2004
Fabio Candotti,1,3,3,17979682,2007,2007,2007
A Cantani,1,0,0,12004919,2002,2002,2002
Francesco Paolo Cantatore,1,11,11,21069419,2010,2010,2010
Harvey Cantor,1,34,34,19096390,2008,2008,2008
Jian-ping Cao,1,0,0,20411757,2010,2010,2010
Jian-Ping Cao,1,0,0,18637589,2008,2008,2008
Q Cao,1,6,6,20814218,2010,2010,2010
Melania Capasso,1,2,2,24890927,2014,2014,2014
E Carbone,1,2,2,11603867,2001,2001,2001
S L Cardell,1,17,17,16412042,2006,2006,2006
Simon R Carding,1,4,4,24373813,2014,2014,2014
Michael A Carducci,1,0,0,12457434,2002,2002,2002
Berit Carow,1,7,7,25458989,2014,2014,2014
Antoine F Carpentier,1,10,10,16988586,2006,2006,2006
I Carr,1,0,0,391451,1978,1978,1978
E Carrasco-Marin,1,2,2,7737687,1994,1994,1994
William E 3rd Carson,1,23,23,24727385,2014,2014,2014
Carol A Carter,1,55,55,18785842,2008,2008,2008
Sian P Cartland,1,2,2,23438964,2013,2013,2013
John A Carucci,1,6,6,23606870,2013,2013,2013
Lucas Carvalho,1,32,32,19120496,2009,2009,2009
Thomas B Casale,1,19,19,20800785,2010,2010,2010
Marilia Cascalho,1,0,0,26306447,2015,2015,2015
Stefano Cascinu,1,10,10,24114790,2013,2013,2013
Lydie Cassard,1,1,1,17096153,2006,2006,2006
David S Cassarino,1,0,0,26588336,2015,2015,2015
Marco A Cassatella,1,1,1,23453215,2013,2013,2013
Bernardo Castellano,1,26,26,21196224,2011,2011,2011
Giuseppe Castellano,1,0,0,26597200,2015,2015,2015
G Cathelineau,1,0,0,6322639,1984,1984,1984
Duccio Cavalieri,1,3,3,23932568,2013,2013,2013
Lois L Cavanagh,1,31,31,12225381,2002,2002,2002
William A Cavanagh,1,2,2,18194710,2008,2008,2008
Marina Cavazzana-Calvo,1,1,1,15172458,2004,2004,2004
J P Cazenave,1,1,1,2687386,1989,1989,1989
Leticia Cedillo-Barron,1,29,29,16099317,2005,2005,2005
H Cejas,1,0,0,12934258,2003,2003,2003
E Celis,1,9,9,9419449,1998,1998,1998
R Cerio,1,3,3,1693814,1990,1990,1990
Sunil Chada,1,1,1,12669451,2003,2003,2003
I N Chainikova,1,0,0,26950998,2016,2016,2016
Rana Chakraborty,1,8,8,15638721,2005,2005,2005
Ronjon Chakraverty,1,0,0,12201949,2002,2002,2002
S J Challacombe,1,13,13,12164661,2002,2002,2002
Mathias Chamaillard,1,3,3,17621555,2007,2007,2007
A C Chan,1,20,20,11422494,2001,2001,2001
C W Chan,1,15,15,17948029,2007,2007,2007
Christopher J Chang,1,93,93,18277978,2008,2008,2008
Hsin-Hou Chang,1,5,5,22940877,2012,2012,2012
Jian Chang,1,1,1,24384793,2014,2014,2014
L Chaperot,1,4,4,12949576,2003,2003,2003
David D Chaplin,1,3,3,11964748,2002,2002,2002
Nicolas Charles,1,1,1,24882716,2014,2014,2014
Bryan Charleston,1,3,3,24956361,2014,2014,2014
Mitali Chatterjee,1,6,6,21875692,2011,2011,2011
Umeshc Chaturvedi,1,24,24,16831202,2006,2006,2006
P Chaux,1,1,1,8786896,1995,1995,1995
Triantafyllos Chavakis,1,17,17,23364297,2013,2013,2013
Anna Chelmonska-Soyta,1,0,0,23001209,2012,2012,2012
B K Chen,1,0,0,27112280,2016,2016,2016
B P Chen,1,1,1,9551365,1998,1998,1998
Bao-An Chen,1,0,0,21176389,2010,2010,2010
Dexiang Chen,1,6,6,12118944,2002,2002,2002
Lieping Chen,1,0,0,11897572,2002,2002,2002
Nan Chen,1,1,1,23689582,2013,2013,2013
S-L Chen,1,3,3,14689272,2003,2003,2003
Si-Yi Chen,1,5,5,16574490,2006,2006,2006
Sugong Chen,1,7,7,24643495,2014,2014,2014
T C Chen,1,11,11,11301353,2001,2001,2001
Wei Chen,1,5,5,16318983,2005,2005,2005
Wei R Chen,1,1,1,25977192,2015,2015,2015
Xiaoyuan Chen,1,26,26,20938522,2010,2010,2010
Xinjian Chen,1,10,10,18547561,2008,2008,2008
Zhi Chen,1,2,2,25892853,2015,2015,2015
Fang Cheng,1,0,0,19757182,2009,2009,2009
Hyeonjoo Cheon,1,20,20,24787290,2014,2014,2014
Cheolho Cheong,1,5,5,22752759,2012,2012,2012
S K Cheong,1,3,3,19108040,2007,2007,2007
Y Chernajovsky,1,17,17,12732875,2003,2003,2003
Hilde Cheroutre,1,2,2,15931528,2005,2005,2005
Karen Cherubini,1,2,2,23845753,2013,2013,2013
Joseph H Chewning,1,6,6,25381358,2014,2014,2014
C-P Chiang,1,4,4,17617838,2007,2007,2007
Cheryl Lai-Lai Chiang,1,4,4,25553913,2015,2015,2015
Alberto A Chiappori,1,24,24,20420527,2010,2010,2010
Shigeru Chiba,1,1,1,22695918,2012,2012,2012
Marcello Chieppa,1,28,28,18852045,2008,2008,2008
Junichi Chihara,1,1,1,20523071,2010,2010,2010
Obinna Chijioke,1,8,8,23812328,2013,2013,2013
Gilles Chiocchia,1,10,10,17562353,2007,2007,2007
F Chiodi,1,0,0,8819568,1995,1995,1995
Fernando Chirdo,1,7,7,14609226,2003,2003,2003
Yvonne E Chiu,1,5,5,21793879,2011,2011,2011
Jeong Hee Cho-Vega,1,1,1,24247574,2013,2013,2013
Hearn Jay Cho,1,0,0,12974782,2003,2003,2003
Mark M W Chong,1,4,4,24929847,2014,2014,2014
Laurent Chorro,1,17,17,21030305,2010,2010,2010
M A Choti,1,1,1,11425639,2001,2001,2001
Claire A Chougnet,1,40,40,17010668,2006,2006,2006
Anne Deen Christensen,1,24,24,22151305,2011,2011,2011
Jeanette Erbo Christensen,1,6,6,19400861,2009,2009,2009
A C Chu,1,3,3,3312146,1987,1987,1987
Kaw Yan Chua,1,5,5,19532092,2009,2009,2009
L W Chung,1,3,3,11693967,2001,2001,2001
Joanna Cichy,1,0,0,19248583,2008,2008,2008
Luka Cicin-Sain,1,2,2,25776081,2015,2015,2015
Cemal Cingi,1,0,0,28124639,2017,2017,2017
G Ciprandi,1,2,2,16700191,2006,2006,2006
Mara Cirone,1,1,1,25695042,2015,2015,2015
Curt I Civin,1,4,4,15536183,2004,2004,2004
E Claassen,1,11,11,1388710,1992,1992,1992
Michael J Clare-Salzler,1,18,18,16890897,2006,2006,2006
David A Clark,1,2,2,23021867,2012,2012,2012
Marcus R Clark,1,17,17,15134789,2004,2004,2004
Rachael Clark,1,20,20,16185260,2005,2005,2005
Richard E Clark,1,1,1,20425356,2007,2007,2007
Benjamin D Clarkson,1,5,5,21948376,2011,2011,2011
Menna R Clatworthy,1,4,4,17943287,2007,2007,2007
A Claudy,1,0,0,8786893,1995,1995,1995
Bjorn E Clausen,1,17,17,20351747,2010,2010,2010
David Claxton,1,0,0,12850495,2003,2003,2003
Asiedu Clement,1,2,2,12403367,2002,2002,2002
W E Clendenning,1,0,0,3013469,1986,1986,1986
M J Cline,1,13,13,7524755,1994,1994,1994
Raphael Clynes,1,20,20,18032008,2007,2007,2007
Patrick T H Coates,1,9,9,16889577,2006,2006,2006
Alistair J Cochran,1,43,43,16932751,2006,2006,2006
Ian A Cockburn,1,6,6,17624749,2007,2007,2007
Susana Coimbra,1,18,18,22435425,2012,2012,2012
Mayte Coiras,1,100,100,19834480,2009,2009,2009
Christopher M Coleman,1,90,90,19486514,2009,2009,2009
Miodrag Colic,1,9,9,22392051,2012,2012,2012
Miodrag J Colic,1,0,0,26337378,2015,2015,2015
J E Coligan,1,0,0,2538975,1989,1989,1989
Joel H Collier,1,9,9,26163376,2015,2015,2015
M P Collin,1,4,4,17882716,2007,2007,2007
R A Collins,1,8,8,10614501,1999,1999,1999
M P Colombo,1,8,8,10918484,2000,2000,2000
Carol A Colton,1,12,12,23114889,2012,2012,2012
Behazine Combadiere,1,26,26,21817854,2011,2011,2011
Iain Comerford,1,25,25,23587803,2013,2013,2013
Robert E Cone,1,22,22,12547504,2003,2003,2003
Nancy C Connolly,1,5,5,17694448,2007,2007,2007
Joan M Cook-Mills,1,3,3,25612797,2015,2015,2015
Donald N Cook,1,13,13,17607005,2007,2007,2007
G Cook,1,8,8,16042684,2005,2005,2005
Matthew C Cook,1,1,1,15507260,2004,2004,2004
Faye A H Cooles,1,10,10,23888361,2013,2013,2013
Laura Cooling,1,1,1,25459074,2014,2014,2014
B K Coombes,1,4,4,11672594,2001,2001,2001
Andrea M Cooper,1,97,97,19161425,2009,2009,2009
Paul R Cooper,1,2,2,26538821,2015,2015,2015
F Coraggio,1,0,0,1895995,1991,1991,1991
L Corbeel,1,0,0,3058484,1988,1988,1988
Carlos E P Corbett,1,0,0,18602127,2008,2008,2008
Robin Cornelissen,1,1,1,23148753,2012,2012,2012
M E Cornford,1,0,0,9822134,1998,1998,1998
Ricardo S Corral,1,2,2,12106790,2002,2002,2002
S G Correa,1,0,0,17058848,2006,2006,2006
Jorge Correale,1,3,3,22937527,2012,2012,2012
Alexandre Corthay,1,9,9,17191387,2006,2006,2006
Manuel G Cosio,1,2,2,22005915,2011,2011,2011
Antonio Costanzo,1,4,4,22250707,2012,2012,2012
N Costedoat-Chalumeau,1,3,3,22206605,2011,2011,2011
D J Coster,1,0,0,2695348,1989,1989,1989
Cecilia T Costiniuk,1,6,6,25146006,2014,2014,2014
Alison Anne Cotterell,1,0,0,12643199,2003,2003,2003
M Cottler-Fox,1,4,4,1361326,1992,1992,1992
Laure Coulombel,1,1,1,18466730,2008,2008,2008
Barbara S Coulson,1,6,6,25794781,2015,2015,2015
Lisa M Coussens,1,5,5,26222088,2015,2015,2015
Vito Covelli,1,18,18,17100626,2006,2006,2006
B J Coventry,1,4,4,10652609,2000,2000,2000
Brendon Coventry,1,9,9,15099564,2004,2004,2004
Eric Cox,1,1,1,21375470,2011,2011,2011
Timothy M Cox,1,12,12,14584904,2003,2003,2003
Alister G Craig,1,4,4,15580781,2004,2004,2004
Tiziana Crepaldi,1,4,4,26561593,2015,2015,2015
Mariano Sanchez Crespo,1,8,8,20689730,2010,2010,2010
Peter Cresswell,1,1,1,26005101,2015,2015,2015
Remi J Creusot,1,0,0,15036039,2004,2004,2004
B Cribier,1,0,0,9856259,1998,1998,1998
Ian Nicholas Crispe,1,39,39,21084131,2010,2010,2010
V Cristea,1,9,9,22288583,2012,2012,2012
Enrico Crivellato,1,10,10,15039048,2004,2004,2004
Danielle M P Cronin,1,50,50,19546611,2009,2009,2009
T G Cropley,1,1,1,2196289,1990,1990,1990
Sergio Crovella,1,0,0,27898045,2016,2016,2016
M K Crow,1,2,2,12708774,2003,2003,2003
William Cruikshank,1,17,17,19265505,2008,2008,2008
Luis J Cruz,1,2,2,23148541,2012,2012,2012
Maria Teresa Cruz,1,0,0,20950635,2010,2010,2010
Ronald G Crystal,1,7,7,24008598,2013,2013,2013
Math P Cuajungco,1,3,3,26336837,2015,2015,2015
Heng Cui,1,0,0,12974100,2003,2003,2003
Zhengrong Cui,1,2,2,14511958,2003,2003,2003
Charlotte Cunningham-Rundles,1,33,33,19671377,2009,2009,2009
Giuseppe Curigliano,1,3,3,24762078,2014,2014,2014
Jennifer Curnow,1,0,0,24432892,2014,2014,2014
Jeffrey L Curtis,1,13,13,16322591,2005,2005,2005
Christopher W Cutler,1,1,1,26252408,2015,2015,2015
M Cutolo,1,26,26,18089676,2007,2007,2007
Albert J Czaja,1,4,4,25487192,2014,2014,2014
Stefania D'Atri,1,2,2,21603161,2011,2011,2011
