PMC5372678	27993971
	27732855
	27630638
	27559612
	27252702
	27174148
	27117408
	26904012
	26768848
	26643446
	26553869
	26084661
	25981042
	25865883
	25446899
	25288114
	25242326
	25159140
	24532585
	24356509
	24054330
	23989956
	23950712
	23774505
	23673618
	23604124
	23459859
	23258413
	23258412
	23084922
	22728313
	22684891
	22072781
	22031862
	21998457
	21932402
	21901532
	21616437
	21616434
	21383194
	21173961
	21147464
	20624164
	20445011
	20154735
	20136776
	19903899
	19641044
	19498381
	19442504
	19342679
	19064723
	18981088
	18589210
	18537195
	18299402
	17878262
	17392790
	17268469
	17082628
	16979567
	16858407
	16625202
	16116171
	15999093
	15508104
	15368299
	15284116
	15208624
	15034168
	14976261
	12960343
	12761383
	12496964
	12000961
	11812998
	11607032
	11130078
	10871386
	10572093
	9685355
	9521319
	7629501
	3315233
PMC5424263	
PMC5297803	27734032
	27699240
	27661464
	27599144
	27576003
	27556764
	27460425
	27315777
	27219461
	27183497
	27015456
	26796537
	26422172
	26235906
	26039103
	25724493
	25648335
	25521197
	25470383
	24633552
	24590279
	24558061
	24502445
	24024576
	23613202
	23540561
	23428224
	23420659
	23347817
	23272198
	23193171
	23185491
	22666510
	22224781
	22112494
	22066746
	22065738
	22049214
	21802319
	21296109
	21256057
	21248077
	21056998
	20665892
	20665377
	19762711
	19346498
	18849330
	18519959
	18310502
	18270813
	18199525
	18161745
	18008374
	17901744
	17805128
	17394405
	17187979
	17141502
	16881867
	16876204
	16842020
	16834456
	16675495
	16138190
	16138185
	16056255
	15630444
	15624440
	15286725
	14978162
	11745212
	10967795
	10769812
	2352440
	2951567
	7463212
	5660699
PMC5295112	27890914
	27792183
	27590114
	27511929
	27304965
	27298823
	27244900
	27168242
	26980802
	26885858
	26583087
	26374472
	26187413
	26163586
	26141583
	26129652
	26121198
	26065585
	25959810
	25944986
	25640656
	25027601
	24938743
	24788806
	24725403
	24691220
	24670648
	24462723
	24458645
	24412617
	24220301
	24036530
	23999499
	23800145
	23733880
	23690441
	23664832
	23526672
	23395676
	23348417
	23334789
	23235743
	22563081
	22439772
	22320921
	22318493
	22222225
	22120429
	22027263
	21925467
	21777796
	21646294
	21596042
	21460203
	21444662
	21350678
	21333554
	21307853
	20944006
	20705860
	20351058
