name,total_reviews,total_citedin
Philippe Pierre,4,34
Magdalena Plebanski,4,86
Stefan Pohlmann,4,60
Paolo Puccetti,4,210
Jose Luis Rodriguez-Fernandez,4,79
Nikolaus Romani,4,72
Mohamed Labib Salem,4,17
Michael L Salgaller,4,10
Dolores J Schendel,4,75
C L Schlichting,4,11
Elodie Segura,4,104
Albert C Shaw,4,216
Suyu Shu,4,33
Franco Silvestris,4,17
Craig L Jr Slingluff,4,19
Mark J Smyth,4,113
Philip A Stumbles,4,38
Melody A Swartz,4,140
Yoshiya Tanaka,4,2
Volker ter Meulen,4,27
Kris Thielemans,4,48
G J Thorbecke,4,51
Marco Tucci,4,30
John W Upham,4,21
Viggo F I Van Tendeloo,4,42
Alain P Vicari,4,163
Hermann Wagner,4,125
Edmund K Waller,4,26
Colin Watts,4,76
Heinz Wiendl,4,47
Ryuya Yamanaka,4,38
Masaki Yasukawa,4,1
Yasunobu Yoshikai,4,10
James W Young,4,63
John S Yu,4,9
Rafi Ahmed,3,145
Paola Allavena,3,30
Anthony C Allison,3,52
Sebastien Anguille,3,74
Vasso Apostolopoulos,3,51
Julia E Babensee,3,63
Martin F Bachmann,3,76
R L Baer,3,1
J N Barker,3,3
Samuel M Behar,3,37
D V Belsito,3,2
Michael J Bevan,3,95
J Magarian Blander,3,127
Andrew Blauvelt,3,62
Bianca Blom,3,74
Marianne Boes,3,16
Andre Boonstra,3,43
Philippe Bousso,3,93
L R Braathen,3,1
Susan M Bueno,3,18
V L Bykov,3,0
Michael A Caligiuri,3,110
Xuetao Cao,3,34
Andrea Cavani,3,9
Benjamin M Chain,3,20
Nathalie Chaput,3,70
Wanjun Chen,3,23
Maurizio Chiriva-Internati,3,14
Georgina J Clark,3,15
P Toby H Coates,3,16
Eliana Marina Coccia,3,29
Matthew Collin,3,103
Nathalie Cools,3,67
Angel L Corbi,3,10
Eric Y Denkers,3,31
Betty Diamond,3,16
Glenn Dranoff,3,14
H A Drexhage,3,5
Leisha A Emens,3,37
O Eremin,3,14
David Escors,3,38
Francesca Fallarino,3,70
Barbara Fazekas de St Groth,3,4
Robert L Ferris,3,39
Patricia W Finn,3,18
Dmitry Gabrilovich,3,254
Beatrice Gaugler,3,21
Ronald N Germain,3,88
Eli Gilboa,3,232
Jennifer L Gommerman,3,30
John Greenman,3,16
Marc Gregoire,3,24
